	domain	phylum	order	class	family	genus	quality
2646	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia	|100
2656	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	|97
2659	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|77
2664	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	|99
2670	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	|77
2676	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	|89
2686	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|80
2692	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2696	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2705	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2716	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|90
2725	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	|90
2730	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|74
2732	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
2739	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|99
2742	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|77
2750	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	|100
2753	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	|96
2756	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
2767	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
2772	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	|95
2773	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Flavisolibacter	|99
2791	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|77
2799	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	|98
2802	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|89
2812	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|98
2813	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified	|96
2819	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	|99
2821	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	|100
2823	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|98
2826	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|74
2828	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	|97
2832	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|99
2833	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Incertae_Sedis	|95
2834	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|89
2836	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|92
2839	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
2846	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	|89
2847	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|91
