,SampleID,Env,Region,Contribution
SRR5602114,,Young,Jiangsu,0.5606577
SRR5602124,,Senior,Jiangsu,0.4434713
SRR5602124,,Young,Jiangsu,0.55652875
SRR5602135,,Senior,Jiangsu,0.31342962
SRR5602135,,Young,Jiangsu,0.68657035
SRR5602154,,Senior,Jiangsu,0.5435991
SRR5602154,,Young,Jiangsu,0.45640087
SRR5602157,,Senior,Jiangsu,0.45670256
SRR5602157,,Young,Jiangsu,0.5432974
SRR5602174,,Senior,Jiangsu,0.56154186
SRR5602174,,Young,Jiangsu,0.43845817
SRR5602192,,Senior,Jiangsu,0.35347837
SRR5602192,,Young,Jiangsu,0.6465216
SRR5602198,,Senior,Jiangsu,0.570435
SRR5602198,,Young,Jiangsu,0.42956495
SRR5602199,,Senior,Jiangsu,0.1513181
SRR5602199,,Young,Jiangsu,0.8486819
SRR5602201,,Senior,Jiangsu,0.53788674
SRR5602201,,Young,Jiangsu,0.46211326
SRR5602202,,Senior,Jiangsu,0.5222103
SRR5602202,,Young,Jiangsu,0.47778967
SRR5602212,,Senior,Jiangsu,0.24626257
SRR5602212,,Young,Jiangsu,0.75373745
SRR5602246,,Senior,Jiangsu,0.06266941
SRR5602246,,Young,Jiangsu,0.93733054
SRR5602247,,Senior,Jiangsu,0.5300022
SRR5602247,,Young,Jiangsu,0.46999785
SRR5602248,,Senior,Jiangsu,0.4141651
SRR5602248,,Young,Jiangsu,0.58583486
SRR5602273,,Senior,Jiangsu,0.06635047
SRR5602273,,Young,Jiangsu,0.9336496
SRR5602289,,Senior,Jiangsu,0.5694501
SRR5602289,,Young,Jiangsu,0.4305499
SRR5602292,,Senior,Jiangsu,0.50975156
SRR5602292,,Young,Jiangsu,0.49024844
SRR5602293,,Senior,Jiangsu,0.120341465
SRR5602293,,Young,Jiangsu,0.8796586
SRR5602297,,Senior,Jiangsu,0.028747259
SRR5602297,,Young,Jiangsu,0.97125274
SRR5602305,,Senior,Jiangsu,0.30983093
SRR5602305,,Young,Jiangsu,0.69016904
SRR5602313,,Senior,Jiangsu,0.051465206
SRR5602313,,Young,Jiangsu,0.9485347
SRR5602331,,Senior,Jiangsu,0.4628367
SRR5602331,,Young,Jiangsu,0.5371633
SRR5602338,,Senior,Jiangsu,0.3572427
SRR5602338,,Young,Jiangsu,0.6427573
SRR5602339,,Senior,Jiangsu,0.03526746
SRR5602339,,Young,Jiangsu,0.9647325
SRR5602342,,Senior,Jiangsu,0.5545867
SRR5602342,,Young,Jiangsu,0.44541323
SRR5602347,,Senior,Jiangsu,0.52619547
SRR5602347,,Young,Jiangsu,0.4738045
SRR5609970,,Senior,Jiangsu,0.22188072
SRR5609970,,Young,Jiangsu,0.77811927
SRR5610014,,Senior,Jiangsu,0.56646675
SRR5610014,,Young,Jiangsu,0.43353322
