SampleID,Env,Contribution
TET39,Kindergarten,0.16927862
TET4,Kindergarten,0.35622838
TET40,Kindergarten,0.4160818
TET41,Kindergarten,0.48649877
TET42,Kindergarten,0.1977202
TET43,Kindergarten,0.44725022
TET44,Kindergarten,0.10534234
TET45,Kindergarten,0.5218134
TET46,Kindergarten,0.3054338
TET47,Kindergarten,0.2571335
TET48,Kindergarten,0.49452105
TET5,Kindergarten,0.225693
TET51,Kindergarten,0.4528466
TET52,Kindergarten,0.46514556
TET53,Kindergarten,0.45604587
TET54,Kindergarten,0.16341275
TET56,Kindergarten,0.15286991
TET57,Kindergarten,0.2759139
TET58,Kindergarten,0.15250495
TET6,Kindergarten,0.46328914
TET60,Kindergarten,0.43148535
TET61,Kindergarten,0.38565916
TET62,Kindergarten,0.16593467
TET63,Kindergarten,0.13349816
TET65,Kindergarten,0.52879137
TET67,Kindergarten,0.3367128
TET68,Kindergarten,0.17069641
TET7,Kindergarten,0.3478963
TET70,Kindergarten,0.14866088
TET71,Kindergarten,0.33330685
TET72,Kindergarten,0.08542199
TET75,Kindergarten,0.087122925
TET76,Kindergarten,0.10882439
TET77,Kindergarten,0.31489122
TET78,Kindergarten,0.37338263
TET79,Kindergarten,0.4944971
TET8,Kindergarten,0.4434807
TET80,Kindergarten,0.12160783
TET81,Kindergarten,0.4450621
TET82,Kindergarten,0.32611743
TET84,Kindergarten,0.16842073
TET85,Kindergarten,0.37612334
TET86,Kindergarten,0.3911315
TET87,Kindergarten,0.1497852
TET88,Kindergarten,0.32404032
TET89,Kindergarten,0.33350694
TET9,Kindergarten,0.15795195
TET90,Kindergarten,0.30872747
TET92,Kindergarten,0.32796717
TET93,Kindergarten,0.13349721
TET94,Kindergarten,0.32453296
TET95,Kindergarten,0.32606098
TET96,Kindergarten,0.29865023
TET97,Kindergarten,0.43955854
TET98,Kindergarten,0.48683035
DXX1,Kindergarten,0.32585302
DXX10,Kindergarten,0.14289403
DXX11,Kindergarten,0.08796946
DXX116,Kindergarten,0.057498477
DXX12,Kindergarten,0.06615478
DXX13,Kindergarten,0.3254065
DXX136,Kindergarten,0.3362257
DXX15,Kindergarten,0.301217
DXX16,Kindergarten,0.4842521
DXX17,Kindergarten,0.0148244975
DXX18,Kindergarten,0.14073656
DXX19,Kindergarten,0.055637542
DXX2,Kindergarten,0.33095852
DXX20,Kindergarten,0.069590986
DXX21,Kindergarten,0.33680028
DXX22,Kindergarten,0.12947546
DXX23,Kindergarten,0.04806322
DXX24,Kindergarten,0.32588062
DXX25,Kindergarten,0.012294255
DXX26,Kindergarten,0.3645179
DXX5,Kindergarten,0.0926495
DXX6,Kindergarten,0.36434716
DXX7,Kindergarten,0.32941717
DXX8,Kindergarten,0.1618202
DXX9,Kindergarten,0.33587602
TXX1,Kindergarten,0.2475441
TXX10,Kindergarten,0.16991085
TXX101,Kindergarten,0.06653432
TXX102,Kindergarten,0.1966711
TXX103,Kindergarten,0.06816369
TXX104,Kindergarten,0.32612407
TXX105,Kindergarten,0.12387019
TXX106,Kindergarten,0.07607282
TXX107,Kindergarten,0.037922792
TXX108,Kindergarten,0.4543539
TXX109,Kindergarten,0.15537779
TXX11,Kindergarten,0.053765986
TXX111,Kindergarten,0.027983623
TXX112,Kindergarten,0.27277133
TXX113,Kindergarten,0.16824687
TXX114,Kindergarten,0.3282414
TXX115,Kindergarten,0.25414222
TXX118,Kindergarten,0.067584105
TXX119,Kindergarten,0.008762137
TXX12,Kindergarten,0.3312577
TXX120,Kindergarten,0.12406569
TXX121,Kindergarten,0.16992946
TXX122,Kindergarten,0.40581197
TXX123,Kindergarten,0.09181723
TXX124,Kindergarten,0.1698936
TXX125,Kindergarten,0.1532545
TXX126,Kindergarten,0.1681934
TXX127,Kindergarten,0.009360532
TXX128,Kindergarten,0.29364625
TXX129,Kindergarten,0.1350574
TXX13,Kindergarten,0.0065152687
TXX130,Kindergarten,0.20655401
TXX131,Kindergarten,0.18186063
TXX132,Kindergarten,0.16444795
TXX133,Kindergarten,0.51063985
TXX134,Kindergarten,0.3258828
TXX135,Kindergarten,0.09155737
TXX137,Kindergarten,0.024893494
TXX138,Kindergarten,0.009681964
TXX139,Kindergarten,0.046795566
TXX14,Kindergarten,0.44115707
TXX140,Kindergarten,0.3279341
TXX141,Kindergarten,0.009307456
TXX142,Kindergarten,0.15916435
TXX143,Kindergarten,0.15704915
TXX144,Kindergarten,0.5015547
TXX145,Kindergarten,0.20567262
TXX146,Kindergarten,0.16435748
TXX147,Kindergarten,0.009278519
TXX148,Kindergarten,0.0092153475
TXX149,Kindergarten,0.2542819
TXX15,Kindergarten,0.15881704
