,root:Pupils,root:kindergarten,root:mid_age,root:mid_school,root:youth
TZX5,0.16978294,0.14905071,0.10309329,0.17846662,0.39960644
TZX50,0.19133283,0.098120056,0.10458309,0.15482673,0.4511372
TZX51,0.16031285,0.09437775,0.11947736,0.116331026,0.50950104
TZX52,0.13822636,0.17457876,0.10777112,0.13704008,0.44238365
TZX53,0.11952925,0.13573012,0.07424731,0.14999032,0.52050304
TZX54,0.18972386,0.12135655,0.14390096,0.13739367,0.40762493
TZX55,0.15162681,0.092553,0.13613622,0.10460872,0.5150753
TZX56,0.15489079,0.18339355,0.100914955,0.17898011,0.38182053
TZX57,0.19363344,0.18330738,0.101328045,0.16505364,0.35667753
TZX58,0.16161266,0.14684592,0.13408053,0.12962313,0.42783785
TZX59,0.18530543,0.1562065,0.07161144,0.24923806,0.3376386
TZX6,0.14970398,0.16908593,0.09815955,0.17050733,0.41254315
TZX60,0.14936605,0.1430987,0.105078146,0.14946382,0.45299327
TZX61,0.17988156,0.17497104,0.07287389,0.2596977,0.31257576
TZX62,0.154643,0.07311923,0.17856391,0.07593193,0.5177419
TZX63,0.14965165,0.108791955,0.094572835,0.13676368,0.5102198
TZX64,0.18492071,0.0895063,0.38343775,0.12752065,0.2146146
TZX65,0.13434866,0.16527009,0.10429829,0.13646825,0.45961475
TZX66,0.15211707,0.18050179,0.113940604,0.15232714,0.4011134
TZX67,0.167315,0.09430081,0.0907485,0.13888323,0.50875247
TZX68,0.21008852,0.14632507,0.08381269,0.22894146,0.3308322
TZX69,0.1074331,0.13735315,0.15405242,0.06718762,0.53397375
TZX7,0.19216329,0.15670095,0.074193716,0.26223075,0.31471127
TZX70,0.14064975,0.117987745,0.095399745,0.1348345,0.51112825
TZX71,0.15673023,0.1311174,0.16274047,0.08158031,0.4678316
TZX72,0.14203806,0.17325768,0.076436125,0.19893692,0.40933117
TZX73,0.14800295,0.16173244,0.09750218,0.16451272,0.4282497
TZX74,0.071835704,0.1523828,0.063633926,0.10402461,0.6081229
TZX75,0.11258101,0.1974279,0.123817876,0.10268764,0.46348554
TZX76,0.10783016,0.16425656,0.08790599,0.11938505,0.5206223
TZX77,0.16640197,0.10955784,0.08517103,0.1613445,0.47752467
TZX78,0.17521058,0.15412685,0.07852399,0.22632676,0.36581182
TZX79,0.16557112,0.08511305,0.09511728,0.13586915,0.5183293
TZX8,0.21101551,0.10510698,0.20623916,0.10156652,0.37607184
TZX80,0.106900565,0.14160018,0.1338955,0.0736423,0.54396147
TZX81,0.1783394,0.13888799,0.111412175,0.17804353,0.39331686
TZX82,0.17578115,0.11449692,0.112890646,0.14984457,0.44698668
TZX83,0.18083543,0.17199653,0.07315578,0.25517848,0.31883377
TZX84,0.16624169,0.12001307,0.123906285,0.15170936,0.4381296
TZX85,0.14549924,0.0768136,0.084782094,0.11806067,0.5748444
TZX86,0.1605788,0.3085067,0.2938347,0.04576042,0.19131939
TZX87,0.15681143,0.14411427,0.119511396,0.15587123,0.42369163
TZX88,0.21245569,0.057427865,0.08802516,0.16433083,0.47776046
TZX9,0.14932412,0.14211306,0.09518593,0.15876259,0.45461428
TZX90,0.15826099,0.20386027,0.06983292,0.22284128,0.34520453
TZX92,0.2898666,0.051521465,0.0985906,0.30161104,0.25841025
TZX94,0.15140192,0.15235007,0.11888937,0.13474227,0.44261643
TZX95,0.17747769,0.15638304,0.09773353,0.1999705,0.36843526
